0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Johnson v. the United Kingdom, 24 October 1997, § 58, Reports of Judgments and Decisions 1997-VII"
"Mooren v. Germany [GC], no. 11364/03, § 77, ECHR 2009-..."
"Kurinnyy v. Russia, no. 36495/02, 12 June 2008"
"Öneryildiz v. Turkey [GC], no. 48939/99, § 93, ECHR 2004-XII"
"Vernillo v. France, judgment of 20 February 1991, Series A no. 198, pp. 11-12, § 27"
"Nogolica v. Croatia (dec.), no. 77784/01, ECHR 2002-VIII"
"Maurice v. France [GC], n  11810/03, § 63, ECHR 2005-IX"
"Murray v. the United Kingdom, 28 October 1994, § 77, Series A no. 300-A"
"Mazurek v. Slovakia (dec.), no. 16970/05, 3 March 2009"
"Series A no. 52, para. 88"
"Kornakovs v. Latvia, no. 61005/00, §§ 171-174, 15 June 2006"
"Blecic v. Croatia [GC], no. 59532/00, § 70, ECHR 2006-III"
"Fretté v. France, no. 36515/97, § 41, ECHR 2002-I"
"White v. Sweden, no. 42435/02, § 20, 19 September 2006"
"Kroon and Others v. the Netherlands, 27 October 1994, § 30, Series A no. 297 C"
"M. v. Germany, no 19359/04, ECHR 2009"
"Coëme and Others v. Belgium, nos. 32492/96, 32547/96, 32548/96, 33209/96 and 33210/96, §§ 98 and 99, ECHR 2000-VII"
"Kolev v. Bulgaria (no 50326/99, 28 April 2005"
"Gäfgen v. Germany [GC], no. 22978/05, § 143, ECHR 2010-..."
"Hadjianastassiou v. Greece, 16 December 1992, Series A no. 252"
"Kudeshkina v. Russia, no. 29492/05, 26 February 2009"
"Asch v. Austria, 26 April 1991, § 25, Series A no. 203"
"Omojudi v. the United Kingdom, no. 1820/08, 24 November 2009"
"Kamyshev v. Ukraine, no. 3990/06, § 44, 20 May 2010"
"Aerts c. Belgique, 30 juillet 1998, § 28, Recueil des arrêts et décisions 1998-V"
"I. v. Finland, no. 20511/03, 17 July 2008"
"Nita v. Romania, no. 24202/07, 26 January 2010"
"Worm v. Austria, 29 August 1997, § 33, Reports of Judgments and Decisions 1997-V)"
"Salduz v. Turkey [GC], no. 36391/02, § 55, ECHR 2008"
"Dudek (VIII) v. Germany (dec.), nos. 12977/09, 15856/09, 15890/09, 15892/09 and 16119/09, 23 November 2010"
"Mehemi v. France (no. 2), no. 53470/99, §§ 43 and 44, ECHR 2003-IV"
"Ergi v. Turkey, 28 July 1998, Reports of Judgments and Decisions 1998-IV"
"Monory v. Romania and Hungary, no 71099/01, §§ 69-85, 5 April 2005"
"Nurettin Aldemir and Others v. Turkey, nos. 32124/02, 32126/02, 32129/02, 32132/02, 32133/02, 32137/02 and 32138/02, 18 December 2007"
"Loizidou v. Turkey (merits), 18 December 1996, § 66, Reports of Judgments and Decisions 1996-VI"
"Piermont v. France, 27 April 1995, §§ 76-77, Series A no. 314"
"Kamasinski v. Austria, 19 December 1989, § 62, Series A no 168"
"Acunbay v. Turkey, nos. 61442/00 and 61445/00, § 45, 31 May 2005"
"Schenk v. Switzerland, 12 July 1988, Series A no140"
"Vincic and Others v. Serbia, no. 44698/06 et seq. § 51, 1 December 2009"
"Palusinski v. Poland (dec.), no. 62414/00, ECHR 2006-..."
"Dickson v. the United Kingdom [GC], no 44362/04, § 67, ECHR 2007-V"
"Yesufa v. the United Kingdom (dec.), no 7347/08, 26 January 2010"
"Ladent v. Poland, no. 11036/03, § 36, 18 March 2008"
"Ciorap v. Moldova, no. 12066/02, § 57, 19 June 2007"
"Carabasse c. France, no 59765/00, 18 janvier 2005"
"Akdivar and Others v. Turkey [GC], 16 September 1996, § 71, Reports of Judgments and Decisions 1996-IV"
"Beshiri and Others v. Albania, no. 7352/03, § 91, 22 August 2006"
"Van der Mussele v. Belgium, 23 November 1983, § 48, Series A no. 70"
"Maumousseau and Washington v. France, no. 39388/05, § 83, 6 December 2007"
"Andelic and Others v. Serbia, no. 57611/10 and 166 other applications, § 32, 28 May 2013"
"Radio France and Others v. France, no 53984/00, § 37, Reports 2004-II"
"Burdov v. Russia (no 2), no 33509/04, ECHR 2009-..."
"Kyrtatos v. Greece, no. 41666/98, § 52, ECHR 2003 VI"
"Broniowski v. Poland [GC], no. 31443/96, § 147-149 and 182, ECHR 2004 V"
"Wille v. Liechtenstein [GC], no 28396/95, ECHR 1999-VII"
"Assenov and Others v. Bulgaria, 28 October 1998, Reports of Judgments and Decisions 1998-VIII, §§ 102 et seq."
"Lavents v. Latvia, no. 58442/00, § 154, 28 November 2002"
"Doronin v. Ukraine, no. 16505/02, § 52, 19 February 2009"
"Richard v. France, 22 April 1998, § 57, Reports of Judgments and Decisions 1998-II"
"Edwards v. Malta, no. 17647/04, §§ 78-79, 24 October 2006"
"Belziuk v. Poland, 25 March 1998, § 37, Reports of Judgments and Decisions 1998-II"
"Babenko v. Ukraine, (dec.), no. 43476/98, 4 May 1999"
"Eur. Court H.R. Barthold judgment of 25 March 1985, Series A no. 90, pp. 24-25 para. 55"
"Lóška v. Slovakia (dec.), no. 19408/03, 14 September 2010"
"Artyomov v. Russia, no. 14146/02, 27 May 2010"
"Castillo Algar v. Spain, 28 October 1998, § 45, Reports 1998 VIII"
"Cemalettin Canli v. Turkey, no. 22427/04, § 33, 18 November 2008"
"Dalban v. Romania [GC], no 28114/95, § 50, ECHR 1999-VI"
"Pretto and Others v. Italy, 8 December 1983, §§ 21-22, Series A no. 71"
"Scordino v. Italy (no 2), (dec.), no 36815/97"
"Vokoun v. the Czech Republic, no. 20728/05, § 29, 3 July 2008"
"Motière v. France, no. 39615/98, § 26, 5 December 2000"
"Family K. and W. v. The Netherlands, no. 11278/84, Commission decision of 1 July 1985, Decisions and Reports (DR) 43, p. 216"
"The Sunday Times v. the United Kingdom (no. 1) (Article 50), 6 November 1989, § 15, Series A no. 38"
"X. and Y. v. Austria, no. 7909/74, Commission decision of 12 December 1978, DR 15"
"SC Plastik ABC v. Romania, no. 32299/03, § 15, 7 April 2008"
"Renolde v. France, no 5608/05, § 83, 16 October 2008"
"Benham v. the United Kingdom, §§ 40 and 42, 10 June 1996, Reports 1996-III"
"De Lorenzo v. Italy (dec.), no 69264/01, 12 February 2004"
"Macovei and Others v. Moldova, nos. 19253/03, 17667/03, 31960/03, 19263/03, 17695/03 and 31761/03, § 42, 25 April 2006"
"Moretti and Benedetti v. Italy, no. 16318/07, § 27, ECHR 2010-... (extracts)"
"Kubli v. Switzerland (dec.), no. 50364/99, 21 February 2002"
"Party communiste unifié de Turkey and Others v. Turkey, 30 January 1998, Reports 1998-I"
"Aerts c. Belgique, arrêt du 30 juillet 1998, Recueil 1998-V, pp. 1958-1959, §§ 34-37, et pp. 1961-1962, § 46"
"Müller and others v. Austria (dec.), no. 26507/95, 23 November 1999"
"Dorokhov v. Russia, no. 66802/01, § 58, 14 February 2008"
"Grässer v. Germany, no. 66491/01, 5 October 2006"
"Guzzardi v. Italy, judgment of 6 November 1980, Series A no. 39, p. 33, § 92"
"Petkov and Others v. Bulgaria, nos. 77568/01, 178/02 and 505/02, § 74, ECHR 2009-…"
"Pla and Puncernau v. Andorra, no. 69498/01, § 59, ECHR 2004-VIII"
"Ruiz-Mateos and Others v. Spain, no. 24469/94, Commission decision of 2 December 1994, DR 79-B, p. 141"
"Brumarescu v. Romania (just satisfaction) [GC], no. 28342/95, ECHR 2001-I"
"Varnava and Others v. Turkey [GC], nos. 16064/90, 16065/90, 16066/90, 16068/90, 16069/90, 16070/90, 16071/90, 16072/90 and 16073/90, § 143, ECHR 2009"
"Iamandi v. Romania, no 25867/03, §§ 59 and 60, 1er June 2010"
"Assanidze v. Georgia [GC], no. 71503/01, point 14 of the operative part, ECHR 2004-II"
"Kononov v. Latvia [GC], no. 36376/04, § 185, ECHR 2010"
"Paulík v. Slovakia, no. 10699/05, §§ 45-47, ECHR 2006-XI"
"Lloyd and Others v. the United Kingdom, nos. 29798/96 and others, §§ 102, 105 et seq., 1 March 2005"
"Scordino (no. 1), no. 36813/97, § 144, 29 March 2006"
"Dritsas v. Italy (dec), no. 2344/02, 1 February 2011"
"Assanidze v. Georgia [GC], no. 71503/01, § 169, ECHR 2004-II"
"Fuentes Bobo v. Spain, no 39293/98, § 38, 29 February 2000"
"Nikolova v. Bulgaria [GC], no 31195/96, ECHR 1999-II"
"Noye v. the United Kingdom (dec.), no. 4491/02, 21 January 2003"
"Salah Sheekh v. the Netherlands, no. 1948/04, § 154, ECHR 2007-I"
"André and Other v. France, no. 18603/03, § 42, 24 July 2008"
"Karov v. Bulgaria, no. 45964/99, § 74 16 November 2006"
"Catan and Others v. Moldova and Russia (dec.), nos. 43370/04, 8252/05 and 18454/06, § 108, 15 June 2010"
"Kazakevich and 9 other “Army Pensioners” cases v. Russia, nos. 14290/03 et al., § 32, 14 January 2010)."
"Grönmark v. Finland (just satisfaction), no. 17038/04, §§ 14-15, 12 July 2011"
"Çelik v. Turkey (dec.), no. 52991/99, ECHR 2004-X"
"Stankov v. Bulgaria, no. 68490/01, §§ 59 and 67, ECHR 2007-VIII"
"Kudla v. Poland [GC], no. 30210/96, § 91, ECHR 2000-XIM. v. Germany, no. 19359/04"
"Dhoest c. Belgique, requête no 10448/83, rapport de la Commission du 14 mai 1987, DR 55, pp. 20-21, §§ 117-118"
"Enhorn v. Sweden, no. 56529/00, § 44, ECHR 2005-I"
"N.M. and M.M. v. the United Kingdom (dec.), nos. 38851/09 and 39128/09, 25 January 2011"
"Capital Bank AD v. Bulgaria, no. 49429/99, 24 November 2005"
"Mehmet Emin Yüksel v. Turkey, no. 40154/98, § 37, 20 July 2004"
"Becciev v. Moldova, no. 9190/03, 4 October 2005"
"Stephens v. Malta (no. 2), no. 33740/06, 21 April 2009"
"McFeeley and Others v. the United Kingdom, no. 8317/78, Commission decision of 15 May 1980, Decisions and Reports 20, p. 44"
"Brand v. the Netherlands, no. 49902/99, § 58, 11 May 2004"
"Aydinlar and Others (dec.), no. 3575/05, 9 March 2010"
"Okkali v. Turkey, no. 52067/99, ECHR 2006-XII"
"France, Norway, Denmark, Sweden, Netherlands v. Turkey, nos. 9940-9944/82, Commission decision of 6 December 1983, DR 35"
"Šoštaric v. Croatia, no. 39659/04, §§ 39-41, 12 April 2007"
"Šilih v. Slovenia [GC], no. 71463/01, §§ 120 and 226, 9 April 2009"
"Steck-Risch and Others v. Liechtenstein, no. 63151/00, 19 May 2005"
"Bitenc v. Slovenia (dec.), no. 32963/02, 18 March 2008"
"Leander v. Sweden, 26 March 1987, § 58, Series A no. 116"
"Berková v. Slovakia, no 67149/01, § 165, 24 March 2009"
"König v. Germany, 28 June 1978, Series A no 27"
"S.B.C. v. the United Kingdom, no. 39360/98, §§ 23-24, 19 June 2001"
"Ashingdane v. the United Kingdom, judgment of 28 May 1985, Series A no. 93, p. 24, para. 57"
"Frydlender v. France [GC], no 30979/96, ECHR 2000-VII"
"Ledyayeva and Others v. Russia, nos. 53157/99, 53247/99, 53695/00 and 56850/00, §§ 96 100, 26 October 2006"
"Davran v. Turkey, no 18342/03, § 45, 3 November 2009"
"Melnychuk v. Ukraine (dec.), no. 28743/03, ECHR 2005-IX"
"Marangos v. Cyprus, no. 31106/96, Commission decision of 20 May 1997, unreported"
"Tanis and Others v. Turkey, no. 65899/01, § 219, ECHR 2005-VIII"
"Ekbatani v. Sweden, 26 May 1988, § 32, Series A no 134"
"Baars v. the Netherlands, no. 44320/98, 28 October 2003"
"Andrášik and Others v. Slovakia (dec.), no.s 57984/00, 60237/00, 60242/00, 60679/00, 60680/00, 68563/01 and 60226/00, ECHR 2002-IX"
"Togcu v. Turkey, no. 27601/95, § 95, 31 May 2005"
"Maumousseau and Washington v. France, no 39388/05, § 83, 6 December 2007"
"Salduz v. Turkey [GC], no. 36391/02, § 55, ECHR 2008-..."
"Raimondo v. Italy, 22 February 1994, § 2, Series A no 281-A"
"Mehmet Ali Dolasan v. Turkey, no 29592/96, 1er July 2003"
"Valašinas v. Lithuania, no. 44558/98, § 101, ECHR 2001-VIII"
"Rehak v. Czech Republic (dec.), no. 67208/01, 18 May 2004)"
"Stoichkov v. Bulgaria, no. 9808/02, § 54, 24 March 2005"
"Shamayev and Others v. Georgia and Russia, no. 6378/02, ECHR 2005-III"
"Anik and Others v. Turkey, no. 63758/00, §§ 55-67, 5 June 2007"
"Taliadorou and Stylianou v. Cyprus, nos. 39627/05 and 39631/05, § 26, 16 October 2008"
"Zimmermann et Steiner v. Switzerland, 13 July 1983, § 36, Series A no 66"
"Hasan and Eylem Zengin v. Turkey, no. 1448/04, ECHR 2007-XI"
"Beleš and Others v. the Czech Republic, no. 47273/99, §§ 51 and 69, ECHR 2002-IX"
"Fejde v. Sweden, 29 October 1991, § 33, Series A no. 212-C"
"Skaÿka v. Poland, no. 43425/98, §§ 41-42, 27 May 2003"
"Tsivis v. Greece, no 11553/05, § 18, 6 December 2007"
"Aranda Serrano v. Spain, (dec.), no 431/04, 25 August 2005"
"Murphy v. Ireland, no 44179/98, § 74, ECHR 2003-IX"
"Headley v. the United Kingdom (dec.), no. 39642/03, 1 March 2005"
"Jahn and Others v. Germany [GC], nos. 46720/99, 72203/01 and 72552/01, § 111, ECHR 2005-VI"
"Kafkaris v. Cyprus [GC], no 21906/04, § 176, ECHR 2008-..."
"Skorkiewicz v. Poland (dec.), no. 39860/98, 1 June 1999"
"Buscarini and Others v. San Marino [GC], nº 24645/94, § 34, ECHR 1999-I"
"Karatepe and Others v. Turkey, nos. 33112/04, 36110/04, 40190/04, 41469/04 and 41471/04, § 46, 7 April 2009"
"Amanalachioai v. Romania, no 4023/04, § 95, 26 May 2009"
"Mouisel v. France, no 67263/01, §§ 37-40, ECHR 2002-IX"
"Bulut v. Austria, 22 February 1996, Reports of Judgments and Decisions 1996-II"
"The Holy Monasteries v. Greece, 9 December 1994, § 71, Series A no. 301-A"
"Haci Özen v. Turkey, no. 46286/99, § 102, 12 April 2007"
"Grifhorst v. France, no 28336/02, § 105, 26 February 2009"
"Leterme v. France, 29 April 1998, Reports 1998-III"
"R.K. and A.K. v. the United Kingdom, no. 38000/05, § 34, 30 September 2008"
"Matsyuk v. Ukraine, no. 1751/03, 10 December 2009"
"Poghosyan v. Georgia, no 9870/07, 24 February 2009"
"Magura v. Slovakia, no. 44068/02, § 34, 13 June 2006"
"Tadeusz Michalak v. Poland, application no 24549/03, decisions du 1er March 2005"
"Accardi and others v. Italy (dec.), no. 30598/02, 20 January 2005"
"Paul and Audrey Edwards v. the United Kingdom, no. 46477/99, §§ 69 and 72, ECHR 2002-II"
"Berrehab v. the Netherlands, 21 June 1988, Series A no 138"
"Deak v. Romania and the United Kingdom, no. 19055/05, 3 June 2008"
"Timurtas v. Turkey, no. 23531/94, § …, ECHR 2000-VI"
"Pedersen and Baadsgaard v. Denmark [GC], no. 49017/99, § 76, ECHR 2004-XI"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, ECHR 2007-IV"
"Katsivardelos v. Greece, no 2075/06, §§ 17 and 20, 25 October 2007"
"Katani and Others v. Germany (dec.), no. 67679/01, 31 May 2001"
"Wemhoff judgment of 27 June 1968, Series A no. 7 p. 27 para. 20"
"Blum v. Austria, no. 31655/02, §§ 22-24, 3 February 2005"
"Burdov v. Russia (no. 2), no. 33509/04, § 99, ECHR 2009 (extracts)"
"Garcia Ruiz v. Spain [GC], no. 30544/96, § 28, ECHR 1999-I - (21.1.99)"
"Moldovan and Others and Rostas and Others v. Romania (dec.), nos. 41138/98 and 64320/01, 13 March 2001"
"Shiryayeva v. Russia, no. 21417/04, 13 July 2006"
"Powell and Rayner v. the United Kingdom, 21 February 1990, § 29, Series A no 172"
"Meftah and Others v. France [GC], nos. 32911/96, 35237/97 and 34595/97, § 40, ECHR 2002 VII"
"Pukhigova v. Russia, no. 15440/05, §§ 106-107, 2 July 2009"
"V. v. the United Kingdom, no. 24888/94, ECHR 1999-IX"
"Wassink v. the Netherlands, 27 September 1990, § 25, Series A no. 185-A"
"Société Colas Est and Others v. France, no. 37971/97, § 43, ECHR 2002-III"
"Kemerov v. Bulgaria (dec.), no. 44041/98, 2 September 2004"
"Harutyunyan v. Armenia, no 36549/03, § 63, ECHR 2007-III"
"Konttinen v. Finland (dec.), no 24949/94, 3 December 1996, Decisions and Reports (DR) 87, p. 69"
"Isayeva and Others v. Russia, nos. 57947/00, 57948/00 and 57949/00, § 90, 24 February 2005"
"Skawinska v. Poland (dec.), no. 42096/98, 4 March 2003"
"Cumatrenco v. Moldova ((dec.), no. 28209/03, 20 March 2007)"
"Eccles and Others v. Ireland, no. 12839/87, Commission decision of 9 December 1988, (DR). 212, p. 219"
"Babar Ahmad and Others v. the United Kingdom (dec.) nos. 24027/07, 11949/08 and 36742/08, § 106, 6 July 2010"
"Sherstobitov v. Russia, no. 16266/03, § 94, 10 June 2010"
"Jalloh v. Germany ([GC], no. 54810/00, ECHR 2006-IX ..."
"Oršuš and Others v. Croatia [GC], no 15766/03, ECHR 2010"
"Kot v. Russia, no. 20887/03, § 24, 18 January 2007"
"Buckley v. the United Kingdom, 25 September 1996, § 75, Reports of Judgments and Decisions 1996-IV"
"Lingens v. Austria, 8 July 1986, § 46, Series A no 103"
"Aksoy v. Turkey, 18 December 1996, § 62, Reports 1996-VI"
"Ölmez c. Turkey, no 39464/98, § 67, 20 February 2007"
"Chraidi v. Germany, no. 65655/01, § 42-45, ECHR 2006-XII"
"Brogan and Others v. the United Kingdom, 29 November 1988, § 62, Series A no. 145-B"
"Yöyler v. Turkey, no. 26973/95, §§ 74-76, 24 July 2003"
"BENet Praha, spol. s r.o. v. the Czech Republic, no. 33908/04, § 154, 24 February 2011"
"Frérot v. France, no. 70204/01, § 77, 12 June 2007"
"Ayik v. Turkey, no 10467/02, § 30, 21 October 2008"
"Zvolský et Zvolská v. the Czech Republic, n o 46129/99"
"Cudak v. Lithuania [GC], no. 15869/02, §§ 45 and 56-57, ECHR 2010"
"Sharomov v. Russia, no. 8927/02, § 44, 15 January 2009"
"Lecarpentier and autre v. France, no 67847/01, 14 February 2006"
"Nikitin v. Russia, no. 50178/99, § 59, ECHR 2004-VIII"
"Stedman v. Royaume Uni (dec.), no 29107/95, decision of the Commission du 9 April 1997, DR  89, p. 104"
"Kreuz v. Poland, 19 June 2001, no. 28249/95, ECHR 2001-VI"
"De Cubber v. Belgium, 26 October 1984, Series A no. 86"
"Gsell v. Switzerland, no. 12675/05, 8 October 2009"
"Keus judgment of 25 October 1990, Series A no. 185-C, pp. 67-68 paras. 24, 28"
"Dreke v. Germany, (déc), no 25159/04, 6 November 2007"
"Ðurdevic v. Croatia, no 52442/09, § 95, 19 July 2011"
"Neulinger and Shuruk v. Switzerland [GC], no. 41615/07, § 139, 6 July 2010"
"Neulinger and Shuruk v. Switzerland [GC], no. 41615/07, § 138, 6 July 2010"
"Osmanoglu v. Turkey, no. 48804/99, § 71, 24 January 2008"
"Stegarescu and Bahrin v. Portugal, no 46194/06, § 37, 6 April 2010"
"Valsamis v. Greece, 18 December 1996, § 28, Reports of Judgments and Decisions 1996-VI"
"Makaratzis v. Greece [GC], no. 50385/99, § 59, ECHR 2004-XI"
"Baranowski v. Poland, no. 28358/95, ECHR 2000 III"
"Sürek v. Turkey (no. 1) [GC], no. 26682/95, § 61, ECHR 1999"
"Bendenoun v. France, 24 February 1994, § 52, Series A no. 284"
"Gorraiz Lizarraga and Others v. Spain, no. 62543/00, § 56, ECHR 2004-III"
"Belashev v. Russia, no. 28617/03, 4 December 2008"
"Bocos-Cuesta v. the Netherlands, no. 54789/00, § 69, 10 November 2005"
"Gladyshev v. Russia, no. 2807/04, 30 July 2009"
"Beyeler v. Italy [GC], no 33202/96, ECHR 2000-I"
"Ibrahim Öztürk v. Turkey, no 16500/04, §§ 48-49, 17 February 2009"
"Coëme and Others v. Belgium, nos. 32492/96, 32547/96, 32548/96, 33209/96 and 33210/96, § 117, ECHR 2000-VII"
"Rekvényi v. Hungary [GC], no. 25390/94, § 59, ECHR 1999-III"
"E.G. and 175 Other Bug River applications v. Poland (dec.), no. 50425/99, §§ 25-29 and 44, ECHR 2008-..."
"Kudeshkina v. Russia, no. 29492/05, § 79, 26 February 2009"
"Bulves AD v. Bulgaria, no. 3991/03, § 85, 22 January 2009"
"K.U. v. Finland, no. 2872/02, 2 December 2008"
"Blecic v. Croatia ([GC], no 59532/00, ECHR 2006-III"
"Ribitsch v. Austria, 4 December 1995, § 38, Series A no 336"
"Kovacic and Others v. Slovenia (dec.), no. 44574-98 et al., 9 October 2003"
"Hurtado v. Switzerland, 28 January 1994, Series A no. 280-A"
"Benham v. the United Kingdom, judgment of 10 June 1996, Reports of Judgments and Decisions 1996-III, pp. 752-53"
"Folgerø and Others v. Norway [GC] du 29 June 2007, no 15472/02, ECHR 2007-VIII"
"Timishev v. Russia, nos. 55762/00 and 55974/00, § 64, ECHR 2005-XI"
"Felbab v. Serbia, no. 14011/07, § 67, 14 April 2009"
"Iordache v. Romania, no. 6817/02, § 50, 14 October 2008"
"Lithgow and Others judgment of 8 July 1986, Series A no. 102, pp. 66, 74 et seq., para. 177, 206"
"S.D.P. v. Italy, no. 27962/95, decision of the Commission of 16 April 1996"
"Eckle v. Germany, 15 July 1982, § 73, Series A no 51"
"Friedl v. Austria, 31 January 1995, Series A no 305-B, opinion of the Commission, §§ 49-51"
"Nilsen and Johnsen v. Norway [GC], no. 23118/93, ECHR 1999-VIII"
"Daniliuc v. Moldova, no. 46581/99, § 32, 18 October 2005"
"Wiktorko v. Poland, no. 14612/02, §§ 54-55, 31 March 2009"
"Sanles Sanles v. Spain, (dec.), no. 48335/99, ECHR 2000-XI"
"Karademirci and Others v. Turkey, nos. 37096/97 and 37101/97, § 26, ECHR 2005-I"
"Letellier v. France, 26 June 1991, § 51, Series A no 207"
"Meftah and Others v. France [GC], nos. 32911/96, 35237/97 and 34595/97, § 41, ECHR 2002-VII"
"Švolík v. Slovakia, no. 51545/99, §§ 37-38, 15 February 2005"
"Eur. Court H.R. Belgian Linguistic judgment of 23 July 1968, Series A no 5, p. 34 para. 9"
"Veli Yalçin c. Turkey (revision), no 29459/05, 19 April 2011"
"Orchowski v. Poland, no. 17885/04, ECHR 2009-… (extracts)"
"Sunday Times v. the United Kingdom (no. 1), judgment of 26 April 1979, Series A no. 30, § 49"
"Leyla Sahin v. Turkey [GC], no 44774/98, § 109, ECHR 2005-XI"
"Stefanov and Yurukov v. Bulgaria, no. 25382/04, §§ 4 and 14, 1 April 2010"
